FACILITY_NME,ORGNZTN_NME,SCOPE3_CAT5_IDN,BU_UNIT_IDN,FACILITY_IDN.1,PRDCT_CATGRY_CDE,PRDCT_CATGRY,PRDCT_INGREDIENT,INDUSTRL_PRCSS_TYP,PRCSS_DESC_TEXT,INDUSTRY_TYP_CDE,ORDER_IDN,QNTY_RECVD_NUM,QNTY_RECVD_NUM_UNIT,ALLWD_FOOD_WASTGE_LVL_PRCNT_NUM,ALLWD_FOOD_WASTGE_LVL_QTY_NUM,ALLWD_FOOD_WASTGE_LVL_QTY_NUM_UNIT,IDEAL_RETL_OUTPUT_NUM,IDEAL_RETL_OUTPUT_NUM_UNIT,FOOD_EXPRD_PRCNT_NUM,QNTY_OF_FOOD_EXPRD_NUM,QNTY_OF_FOOD_EXPRD_NUM_UNIT,OTHER_FOOD_WASTE_PRCNT_NUM,QNTY_OTHER_FOOD_WASTE_NUM,QNTY_OTHER_FOOD_WASTE_NUM_UNIT,TOTL_FOOD_WASTE_NUM,TOTL_FOOD_WASTE_NUM_UNIT,FOOD_PRCSSNG_STGE_OUTPT_NUM,FOOD_PRCSSNG_STGE_OUTPT_NUM_UNIT,INGRDNT_COST_NUM,INGRDNT_COST_NUM_UNIT,CALCLTD_WASTGE_COST_NUM,CALCLTD_WASTGE_COST_NUM_UNIT,WASTE_COLLCTN_COST_NUM,WASTE_COLLCTN_COST_NUM_UNIT,WASTE_TRTMNT_COST_NUM,WASTE_TRTMNT_COST_NUM_UNIT,TOTL_COST_NUM,TOTL_COST_NUM_UNIT,CONSMPTN_STRT_DTE,CONSMPTN_END_DTE,PURCHSD_ORDR_DTE,WASTE_GENRTN_PRCSS_TYP,WASTE_GENRTN_PRCSS_CATGRY,WASTE_DIVRSN_METHD_CDE,WASTE_DIVRSN_METHD_SUB_TYP_CDE,WASTE_DIVRSN_SITE_TYP_CDE,HAZRD_TYP_CDE,WASTE_DISPSL_METHOD_CDE,SUPPLR_NME,SPND_TYP,DATA_QLTY_TYP,COMPONENT_ID,EVIDENCE_TXT_1,EVIDENCE_TXT_2,EVIDENCE_TXT_3,FRST_LOAD_TME.2,FRST_LOAD_UPTD_BY.2,LST_UPDT_TME.2,LST_UPDT_BY.2,SRC_INFO.2,INDUSTRY.2,Platform_Type
O&S Germany,One Shop,d95e1b1c820c7e5f1c823b4b055439d4,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_22ORD_FORET_GER_Bev_Ora5217,957.000000,tonnes,1.500000,14.300000,%,942.000000,tonnes,1.800000,17.000000,tonnes,1.200000,11.310000,%,43.000000,tonnes,914.000000,tonnes,2020.000000,USD per tonnes,86086.000000,USD,1534.000000,USD,15342.000000,USD,102962.000000,USD,2022-12-01,2022-12-31,2022-11-12,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,3610e33773ec634af304b0e8079381de,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_22ORD_FORET_GER_Bev_Ora4199,957.000000,tonnes,1.500000,14.300000,%,942.000000,tonnes,1.800000,17.000000,tonnes,1.200000,11.310000,%,43.000000,tonnes,914.000000,tonnes,2020.000000,USD per tonnes,86086.000000,USD,1534.000000,USD,15342.000000,USD,102962.000000,USD,2022-11-01,2022-11-30,2022-10-14,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,89c53894a0b306a138ba2093cd3c530e,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_22ORD_FORET_GER_Bev_Ora3269,953.000000,tonnes,1.500000,14.300000,%,939.000000,tonnes,1.900000,17.800000,tonnes,1.300000,12.210000,%,44.000000,tonnes,909.000000,tonnes,2020.000000,USD per tonnes,89592.000000,USD,1597.000000,USD,15967.000000,USD,107156.000000,USD,2022-07-01,2022-07-31,2022-06-15,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,b90176b09d6c58a875a070a25eb1c862,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_22ORD_FORET_GER_Bev_Ora8915,953.000000,tonnes,1.500000,14.300000,%,939.000000,tonnes,1.900000,17.800000,tonnes,1.300000,12.210000,%,44.000000,tonnes,909.000000,tonnes,2020.000000,USD per tonnes,89592.000000,USD,1597.000000,USD,15967.000000,USD,107156.000000,USD,2022-09-01,2022-09-30,2022-08-13,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,729fe716450ee7584eed507a4fb6b4d0,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_23ORD_FORET_GER_Bev_Ora2687,953.000000,tonnes,1.500000,14.300000,%,939.000000,tonnes,1.400000,13.100000,tonnes,1.300000,12.200000,%,40.000000,tonnes,913.000000,tonnes,2020.000000,USD per tonnes,80065.000000,USD,1427.000000,USD,14269.000000,USD,95760.000000,USD,2023-02-01,2023-02-28,2023-01-12,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,90e8250f6ba576f08fa2f82a2b063aba,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_22ORD_FORET_GER_Bev_Ora4360,953.000000,tonnes,1.500000,14.300000,%,939.000000,tonnes,1.900000,17.800000,tonnes,1.300000,12.210000,%,44.000000,tonnes,909.000000,tonnes,2020.000000,USD per tonnes,89592.000000,USD,1597.000000,USD,15967.000000,USD,107156.000000,USD,2022-08-01,2022-08-31,2022-07-17,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,266c9088e996f9de75cd39d851aec4e8,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_23ORD_FORET_GER_Bev_Ora8888,953.000000,tonnes,1.500000,14.300000,%,939.000000,tonnes,1.400000,13.100000,tonnes,1.300000,12.200000,%,40.000000,tonnes,913.000000,tonnes,2020.000000,USD per tonnes,80065.000000,USD,1427.000000,USD,14269.000000,USD,95760.000000,USD,2023-01-01,2023-01-31,2022-12-12,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,5a7aff66cfe1e00f151951e9013779ec,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_22ORD_FORET_GER_Bev_Ora6977,957.000000,tonnes,1.500000,14.300000,%,942.000000,tonnes,1.800000,17.000000,tonnes,1.200000,11.310000,%,43.000000,tonnes,914.000000,tonnes,2020.000000,USD per tonnes,86086.000000,USD,1534.000000,USD,15342.000000,USD,102962.000000,USD,2022-10-01,2022-10-31,2022-09-14,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,00f15f11b84a0000d804f1e92307db59,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_23ORD_FORET_GER_Bev_Ora3033,962.000000,tonnes,1.500000,14.400000,%,948.000000,tonnes,1.600000,15.200000,tonnes,1.300000,12.320000,%,42.000000,tonnes,920.000000,tonnes,2020.000000,USD per tonnes,84670.000000,USD,1509.000000,USD,15090.000000,USD,101269.000000,USD,2023-06-01,2023-06-30,2023-05-12,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
O&S Germany,One Shop,4c054a60479ca9c0215a5add2d73d295,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Oranges,Food Retailing,Fresh Orange Sales,Retail,R_23ORD_FORET_GER_Bev_Ora1635,962.000000,tonnes,1.500000,14.400000,%,948.000000,tonnes,1.600000,15.200000,tonnes,1.300000,12.320000,%,42.000000,tonnes,920.000000,tonnes,2020.000000,USD per tonnes,84670.000000,USD,1509.000000,USD,15090.000000,USD,101269.000000,USD,2023-04-01,2023-04-30,2023-03-12,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Bio Service Nord,Waste Management and Remediation Services,Estimated,,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15T14:05:40Z,Shubhra Priyadarshini,Demo_Data,Retail,Idea_Azure
