D_N_M_Emission,D_N_M_Row_Checksum,Do_N_M_Modifiedon,Name,Scope,Emissions_Source,Activity_type,Calculation_date,Transaction_date,Consumption_start_date,Consumption_end_date,Country_Region,Organizational_unit,Facility,Source,Latitude,Longitude,CH4,CH4_unit,CO2,CO2_unit,N2O,N2O_unit,CO2E,CO2E_unit,Ismarketbased,Isbiogenic,Emission_factor,Factor_mapping,Adjusted_activity_quantity,Adjusted_activity_quantity_unit,Origin_correlation_ID,Industry
994a6f73-e117-ef11-840a-002248d4f085,7KrRrzdGts68+uTGVqBrZyr0urHJpvXK8KpCthLOUa4tFC2vca+CTNkrEzjsgaxwc3ahYbuPg3zuc1J7VH05EQ==,22-05-2024 02:17,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,22-05-2024,15-01-2022,01-02-2022,28-02-2022,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,3000,kg,120,kg,7344,g,77308.512,kg,No,No,Landfilled,Landfilled,48,tonnes,668749908bfeb80f8e61f829071b3ae8,Retail
71eadf74-e117-ef11-840a-6045bdaef7dd,KsW3STa8yfE/XWkKe/LV/QfFG6q843DGyKYu9W42dIiPjYITCMP82nATsafMqhX/8P7hlsyhAELeuo/V5XKjQw==,22-05-2024 02:17,Bio Service Nord,Scope 3,Waste generated in operations,Composted,22-05-2024,15-04-2023,01-05-2023,30-05-2023,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,37.8,kg,315,kg,25.2,kg,8769.6,kg,No,No,Composted,Composted,126,tonnes,00fac9f11aea0ab66dda20f6c531e21a,Retail
5a080c76-e117-ef11-840a-002248d4d4f0,MrpXKebdTTr3mzHlDJrlwzxC0NO0JxX+0zb8lzpOGjwiF5Hj0sO3dBp9TKwHJTRURyxX27b4ACU/bDTWnjpR4g==,22-05-2024 02:17,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,22-05-2024,16-01-2022,01-02-2022,28-02-2022,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,62.5,kg,2.5,kg,153,g,1610.594,kg,No,No,Landfilled,Landfilled,1,tonnes,6697c5e34a9fec5e44ddf7ddcd1e2827,Retail
36080c76-e117-ef11-840a-002248d4d4f0,i+ZnNHVtvueb90H5WutwhfdIgiLwNZahA+rrZGpSbnrlSuDhOqYx8edNuz0Qn5uxFYFy/z8z7rvsYrT2RWe3Gw==,22-05-2024 02:17,Waste Management Inc,Scope 3,Waste generated in operations,Composted,22-05-2024,16-07-2022,01-08-2022,31-08-2022,USA,One Shop,O&S USA,Waste Management Inc,0,0,12,kg,100,kg,8,kg,2784,kg,No,No,Composted,Composted,40,tonnes,2f1fda8a183ce4de19042c0935b9e48b,Retail
865c2874-e117-ef11-840a-6045bdaf1fd6,h4S+NfisRcjh3bd7LaT5RdhZgDKhveg1eqkVr9G6lc+pdMie/WxDrrsYbnIZmL9tkZ2N3oGpqSGR4XU/OqCpqA==,22-05-2024 02:17,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,22-05-2024,14-07-2022,01-08-2022,31-08-2022,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,3000,kg,120,kg,7344,g,77308.512,kg,No,No,Landfilled,Landfilled,48,tonnes,ed35dc3d679387dfdf31de38860951e1,Retail
a05c2874-e117-ef11-840a-6045bdaf1fd6,89lAApDOCKOf7DeuAaqmVLVu2p77DR5iG+XMLaXHqHPNPL6MXc/gZ6novYytwMGz5K7WYGVoF0OEyMJkQPRF2g==,22-05-2024 02:17,Waste Management Inc,Scope 3,Waste generated in operations,Composted,22-05-2024,14-05-2023,01-06-2023,30-06-2023,USA,One Shop,O&S USA,Waste Management Inc,0,0,11.4,kg,95,kg,7.6,kg,2644.8,kg,No,No,Composted,Composted,38,tonnes,442aef539b78a5f29190d3620c1a2137,Retail
671b2977-e117-ef11-840a-7c1e5205d72d,yBhwCv2f8T8ElxijzgN2Mvh6gb8PFATpDZ/+TMvSR9JmLEnDsIsTdX626r6rECGIehLyb5BaaY4mx33SU5QMxg==,22-05-2024 02:17,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,22-05-2024,16-09-2023,01-10-2023,31-10-2023,USA,One Shop,O&S USA,Waste Management Inc,0,0,2437.5,kg,97.5,kg,5967,g,62813.166,kg,No,No,Landfilled,Landfilled,39,tonnes,d109b892f220db62b8821ee0d703096b,Retail
cdd6277a-e117-ef11-840a-6045bdaf1fd6,qlZLBY6WhPY5UbQanNxjpd58TNpbnVCFX0tY8TRUZsabwSkm04gB05LFZ9H1yrsvXXlL406mvANWx37W+azSiQ==,22-05-2024 02:17,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,22-05-2024,13-02-2022,01-03-2022,31-03-2022,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,125,kg,5,kg,306,g,3221.188,kg,No,No,Landfilled,Landfilled,2,tonnes,116acc48d328bd5851f5c3ba1cdf3b24,Retail
d2d6277a-e117-ef11-840a-6045bdaf1fd6,qbLpnACTr1hdByihBejGmdkqCMjOeoYh5EGMm33ex7eEmIfWyBmLmrh5vsV/11ejwbLq3p7w0gq1Aif9b4330A==,22-05-2024 02:17,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,22-05-2024,12-04-2023,01-05-2023,30-05-2023,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,3000,kg,120,kg,7344,g,77308.512,kg,No,No,Landfilled,Landfilled,48,tonnes,0b4302274faa222acc5e05eca72fcfdd,Retail
e1d6277a-e117-ef11-840a-6045bdaf1fd6,in2DeIhCUB/gukx33n2aFttpB8uBxdq0B5s73tVdU5zml1h3vuhniov4KTh+G/R4pbaJHz0asNlCl9Akro7MoQ==,22-05-2024 02:17,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,22-05-2024,16-05-2022,01-06-2022,30-06-2022,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,1500,kg,60,kg,3672,g,38654.256,kg,No,No,Landfilled,Landfilled,24,tonnes,bdc3bf0ddcc2d08d89f8a01f21e190b4,Retail
