D_N_M_Emission,D_N_M_Row_Checksum,Do_N_M_Modifiedon,Name,Scope,Emissions_Source,Activity_type,Calculation_date,Transaction_date,Consumption_start_date,Consumption_end_date,Country_Region,Organizational_unit,Facility,Source,Latitude,Longitude,CH4,CH4_unit,CO2,CO2_unit,N2O,N2O_unit,CO2E,CO2E_unit,Is_market_based,Is_biogenic,Emission_factor,Factor_mapping,Adjusted_activity_quantity,Adjusted_activity_quantity_unit,Origin_correlation_ID,PFCs,PFCs_unit,SF6,SF6_unit,Other_GHGs,Other_GHGs_unit,HFCs,HFCs_unit,NF3,NF3_unit,Industry
4892be10-9319-ef11-840a-000d3af0a822,656JDGrkpQ/K2RjbiAsB2IGK4s4eGhIjAsmj1N7RZ66g3zBd6WccQFz+cy5snDR8VSOVbJeibqjtr2hB4VNSrg==,24-05-2024 06:01,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,24-05-2024,17-08-2022,01-09-2022,30-09-2022,USA,One Shop,O&S USA,Waste Management Inc,0,0,20500.0000000000,kg,820.0000000000,kg,50184.0000000000,g,528274.8320000000,kg,No,No,Landfilled,Landfilled,328.0000000000,tonnes,83035bf715c945fba5a4cd735ea30303,,,,,,,,,,,Retail
5292be10-9319-ef11-840a-000d3af0a822,Qjx5OK0bZokqTsQAcPwes19pkDEI6qK9hhl/kQ4Z5Ue2s8ooPFaGV/kP2NbZM8g9MeF84IjgfH7pOhA8bB7Bkg==,24-05-2024 06:01,Waste Management Inc,Scope 3,Waste generated in operations,Composted,24-05-2024,12-02-2024,01-03-2024,31-03-2024,USA,One Shop,O&S USA,Waste Management Inc,0,0,6.9000000000,kg,57.5000000000,kg,4.6000000000,kg,1600.8000000000,kg,No,No,Composted,Composted,23.0000000000,tonnes,00e0a87948c433790e96ee973b9aa267,,,,,,,,,,,Retail
2ac15c14-9319-ef11-840a-000d3af0d388,W1tadYuSLRpYkrMP528oPR7974xub4PCVID272sY/rfBe2yrM5ElxY/crQhIwKa25eCDO6hMWNEZN5IR2t+Ulg==,24-05-2024 06:01,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,24-05-2024,13-01-2022,01-02-2022,28-02-2022,USA,One Shop,O&S USA,Waste Management Inc,0,0,0.0000000000,kg,0.0000000000,kg,0.0000000000,g,0.0000000000,kg,No,No,Landfilled,Landfilled,0.0000000000,tonnes,d00e6bce78d4fa899835c839a1836ecf,,,,,,,,,,,Retail
e4a40b16-9319-ef11-840a-000d3af0e99a,JeRDKa3EDKKw0o/jezUFyZjaGjFvTcX6QulAXnLBLuDD+Xh2UnSJiQ8kcVhPyTBM916pmf+Rb+OOt/4gAGj5Rw==,24-05-2024 06:01,Waste Management Inc,Scope 3,Waste generated in operations,Landfilled,24-05-2024,12-06-2023,01-07-2023,30-07-2023,USA,One Shop,O&S USA,Waste Management Inc,0,0,1375.0000000000,kg,55.0000000000,kg,3366.0000000000,g,35433.0680000000,kg,No,No,Landfilled,Landfilled,22.0000000000,tonnes,9a1f0b3bdc7f4c371feda36f226cb3cb,,,,,,,,,,,Retail
14a50b16-9319-ef11-840a-000d3af0e99a,fG4b9+zOG68oi7SBF01ZLT4bvJGvVt4DT2v7E0m/0iDlVg2vElCBRTLDLvCrUBNiB9Io9pdyLS+OI6dQt5iukw==,24-05-2024 06:01,Bio Service Nord,Scope 3,Waste generated in operations,Landfilled,24-05-2024,11-04-2023,01-05-2023,30-05-2023,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,8937.5000000000,kg,357.5000000000,kg,21879.0000000000,g,230314.9420000000,kg,No,No,Landfilled,Landfilled,143.0000000000,tonnes,6e586dcddd8d12dedcd96755ea7463f2,,,,,,,,,,,Retail
bae6dd19-9319-ef11-840a-7c1e5205d72d,1t/FGxj7i+a2IOOTCS9iLrQya36KeawTyD/culIm6prlSmMXEFZ67O5N8z/RBNIBDUO9T/qJRaXff1hp/jXOXQ==,24-05-2024 06:01,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,24-05-2024,12-11-2022,01-12-2022,31-12-2022,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,2187.5000000000,kg,87.5000000000,kg,5355.0000000000,g,56370.7900000000,kg,No,No,Landfilled,Landfilled,35.0000000000,tonnes,453c30178b59e565977c2dd5a180ac03,,,,,,,,,,,Retail
40416f1a-9319-ef11-840a-000d3af0d388,UMcYCBZPNkaK+/MDwSK+BNsTA4+BtVJA2O2EO4KqMu3WsnZfK0mnh0/NmvH4r5qUUkruDOTWMnxmx82NgO8I/g==,24-05-2024 06:02,Bio Service Nord,Scope 3,Waste generated in operations,Composted,24-05-2024,13-02-2022,01-03-2022,31-03-2022,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,0.3000000000,kg,2.5000000000,kg,0.2000000000,kg,69.6000000000,kg,No,No,Composted,Composted,1.0000000000,tonnes,7986195c1852d17179a9e34a7d2ee925,,,,,,,,,,,Retail
43416f1a-9319-ef11-840a-000d3af0d388,+NMFjHvHcnDMqC12gqKX4Zte4CV1QeODa2/02i34qnDMT1BY1WgYw7NGs6EaNt7CSnHdTP/CMAYXQE9l14KDgQ==,24-05-2024 06:02,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,24-05-2024,14-07-2022,01-08-2022,31-08-2022,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,9562.5000000000,kg,382.5000000000,kg,23409.0000000000,g,246420.8820000000,kg,No,No,Landfilled,Landfilled,153.0000000000,tonnes,c932091d3abcb6eca94bfdc088620d42,,,,,,,,,,,Retail
64416f1a-9319-ef11-840a-000d3af0d388,3FBn/3ofYemeolODfYxBFREKIGqAF72kPZGwXkKkKVkNbHEN1T/p5aXDxDJk3Rl3MDIIWTiWc171X1Q4x4Rqjg==,24-05-2024 06:02,Zhejiang Weiming Environment Protection Co. Ltd,Scope 3,Waste generated in operations,Landfilled,24-05-2024,12-02-2024,01-03-2024,31-03-2024,CHN,One Shop,O&S China,Zhejiang Weiming Environment Protection Co. Ltd,0,0,625.0000000000,kg,25.0000000000,kg,1530.0000000000,g,16105.9400000000,kg,No,No,Landfilled,Landfilled,10.0000000000,tonnes,7d17b61bf31b39afc35c124bbce21516,,,,,,,,,,,Retail
6c807e20-9319-ef11-840a-6045bde848a8,9Bf345PNMPmDNaAmPkyJBK4pggRcDnI6C+7hJFtLC8+oITl5N+E8PAJP5i89J6uB63mexb72QJrGE3LeB/NJtw==,24-05-2024 06:02,Bio Service Nord,Scope 3,Waste generated in operations,Composted,24-05-2024,17-12-2022,01-01-2023,31-01-2023,DEU,One Shop,O&S Germany,Bio Service Nord,0,0,0.9000000000,kg,7.5000000000,kg,0.6000000000,kg,208.8000000000,kg,No,No,Composted,Composted,3.0000000000,tonnes,a85a1df347c2b4c8d4db59c4eca16b68,,,,,,,,,,,Retail
