"ORIGIN_CORRELATION_ID","BU_UNIT_IDN","FACILITY_IDN","PRODUCT_CATEGORY_CODE","PRODUCT_CATEGORY","MATERIAL","INDUSTRIAL_PROCESS_TYPE","VALUE_CHAIN_PARTNER","PRCSS_DESC_TEXT","INDUSTRY_TYP_CDE","ORDER_IDN","QNTY_RECVD_NUM","QNTY_RECVD_NUM_UNIT","ALLWD_FOOD_WASTGE_LVL_PRCNT_NUM","ALLWD_FOOD_WASTGE_LVL_QTY_NUM","ALLWD_FOOD_WASTGE_LVL_QTY_NUM_UNIT","IDEAL_RETL_OUTPUT_NUM","IDEAL_RETL_OUTPUT_NUM_UNIT","FOOD_EXPRD_PRCNT_NUM","QNTY_OF_FOOD_EXPRD_NUM","QNTY_OF_FOOD_EXPRD_NUM_UNIT","OTHER_FOOD_WASTE_PRCNT_NUM","QNTY_OTHER_FOOD_WASTE_NUM","QNTY_OTHER_FOOD_WASTE_NUM_UNIT","WASTE_QUANTITY","WASTE_QUANTITY_UNIT","FOOD_PRCSSNG_STGE_OUTPT_NUM","FOOD_PRCSSNG_STGE_OUTPT_NUM_UNIT","INGRDNT_COST_NUM","INGRDNT_COST_NUM_UNIT","CALCLTD_WASTGE_COST_NUM","CALCLTD_WASTGE_COST_NUM_UNIT","WASTE_COLLCTN_COST_NUM","WASTE_COLLCTN_COST_NUM_UNIT","WASTE_TRTMNT_COST_NUM","WASTE_TRTMNT_COST_NUM_UNIT","COST","COST_UNIT","CONSUMPTION_START_DATE","CONSUMPTION_END_DATE","TRANSACTION_DATE","WASTE_GENRTN_PRCSS_TYP","WASTE_GENRTN_PRCSS_CATGRY","WASTE_DIVRSN_METHD_CDE","WASTE_DIVRSN_METHD_SUB_TYP_CDE","WASTE_DIVRSN_SITE_TYP_CDE","HAZRD_TYP_CDE","DISPOSAL_METHOD","SPEND_TYPE","DATA_QUALITY_TYPE","EVIDENCE","EVIDENCE_TXT_2","EVIDENCE_TXT_3","FRST_LOAD_TME","FRST_LOAD_UPTD_BY","LST_UPDT_TME","LST_UPDT_BY","SRC_INFO","INDUSTRY","PLATFORM_TYPE","COMPONENT_ID","FACILITY","ORGANIZATIONAL_UNIT"
ed35dc3d679387dfdf31de38860951e1_IDEA_AZURE,OSG_FORET001,OS_CHI0001,O&S_SeaF001,Sea Food,Lobster,Food Retailing,Zhejiang Weiming Environment Protection Co. Ltd,Retail,Retail,R_22ORD_FORET_CHI_Sea_Lob9648,1182.00,tonnes,1.50,17.70,%,1164.00,tonnes,1.30,15.10,tonnes,1.30,15.13,%,48.00,tonnes,1134.00,tonnes,35160.00,USD per tonnes,1687650.00,USD,1728.00,USD,5184.00,USD,1694560.00,USD,2022-08-01,2022-08-31,2022-07-14,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S China,One Shop
"5031e386fb2da24045c0709dc28256a2_IDEA_AZURE",OSG_FORET001,OS_GER0001,O&S_Pant001,Pantry Essentials,Eggs,Food Retailing,Bio Service Nord,Retail,Retail,R_22ORD_FORET_GER_Pan_Egg9257,38.00,tonnes,1.50,0.60,%,37.00,tonnes,1.80,0.70,tonnes,1.20,0.45,%,2.00,tonnes,36.00,tonnes,4840.00,USD per tonnes,8185.00,USD,61.00,USD,609.00,USD,8855.00,USD,2022-10-01,2022-10-31,2022-09-11,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S Germany,One Shop
"508b6c32cd371183330dfe3409631571_IDEA_AZURE",OSG_FORET001,OS_GER0001,O&S_Pant001,Pantry Essentials,Sugarcane,Food Retailing,Bio Service Nord,Retail,Retail,R_22ORD_FORET_GER_Pan_Sug5092,3054.00,tonnes,1.50,45.80,%,3008.00,tonnes,1.60,48.10,tonnes,1.20,36.10,%,130.00,tonnes,2924.00,tonnes,1380.00,USD per tonnes,179455.00,USD,4681.00,USD,46814.00,USD,230950.00,USD,2022-11-01,2022-11-30,2022-10-17,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S Germany,One Shop
"3b227601c945179abe9a6bc46355fa00_IDEA_AZURE",OSG_FORET001,OS_USA0001,O&S_Bake001,Bakery and Bread,Eggs,Food Retailing,Waste Management Inc,Retail,Retail,R_23ORD_FORET_USA_Bak_Egg4997,1889.00,tonnes,1.50,28.30,%,1860.00,tonnes,1.80,33.50,tonnes,1.40,26.05,%,88.00,tonnes,1801.00,tonnes,4840.00,USD per tonnes,425267.00,USD,3163.00,USD,9489.00,USD,437920.00,USD,2023-03-01,2023-03-31,2023-02-10,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
"83783db99ce39a75912a776287383e8c_IDEA_AZURE",OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Strawberries,Food Retailing,Bio Service Nord,Retail,Retail,R_23ORD_FORET_GER_Bev_Str3168,70.00,tonnes,1.50,1.00,%,69.00,tonnes,1.50,1.00,tonnes,1.40,0.96,%,3.00,tonnes,67.00,tonnes,5400.00,USD per tonnes,16382.00,USD,109.00,USD,1092.00,USD,17583.00,USD,2023-04-01,2023-04-30,2023-03-15,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S Germany,One Shop
"9265dcf52980013b1eb2623d9945b3af_IDEA_AZURE",OSG_FORET001,OS_GER0001,O&S_Pant001,Pantry Essentials,Canola Seed,Food Retailing,Bio Service Nord,Retail,Retail,R_23ORD_FORET_GER_Pan_Can6661,3186.00,tonnes,1.50,47.80,%,3138.00,tonnes,1.60,50.20,tonnes,1.50,47.07,%,145.00,tonnes,3040.00,tonnes,1350.00,USD per tonnes,195822.00,USD,5222.00,USD,52219.00,USD,253263.00,USD,2023-07-01,2023-07-30,2023-06-13,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S Germany,One Shop
"3ed0b762ee281fc0c35ccd715fe42ab4_IDEA_AZURE",OSG_FORET001,OS_USA0001,O&S_Snac001,Snack,Banana,Food Retailing,Waste Management Inc,Retail,Retail,R_23ORD_FORET_USA_Sna_Ban6230,1441.00,tonnes,1.50,21.60,%,1419.00,tonnes,2.00,28.40,tonnes,1.20,17.03,%,67.00,tonnes,1374.00,tonnes,1350.00,USD per tonnes,90467.00,USD,2412.00,USD,7237.00,USD,100117.00,USD,2023-08-01,2023-08-30,2023-07-13,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
"9cc6800f4377577b08039f38344fa6b5_IDEA_AZURE",OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Ginger,Food Retailing,Bio Service Nord,Retail,Retail,R_22ORD_FORET_GER_Bev_Gin3787,875.00,tonnes,1.50,13.10,%,862.00,tonnes,1.60,13.80,tonnes,1.30,11.20,%,38.00,tonnes,837.00,tonnes,1490.00,USD per tonnes,56792.00,USD,1372.00,USD,13722.00,USD,71886.00,USD,2022-03-01,2022-03-31,2022-02-12,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S Germany,One Shop
dc761450940c156dc935945bdde7e330_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Bake001,Bakery and Bread,Milk,Food Retailing,Waste Management Inc,Retail,Retail,R_22ORD_FORET_USA_Bak_Mil9239,1852.00,tonnes,1.50,27.80,%,1824.00,tonnes,1.20,21.90,tonnes,1.10,20.07,%,70.00,tonnes,1782.00,tonnes,660.00,USD per tonnes,46032.00,USD,2511.00,USD,7532.00,USD,56075.00,USD,2022-05-01,2022-05-31,2022-04-13,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
"4eddc693ff378a23d79afb47cc929cee_IDEA_AZURE",OSG_FORET001,OS_CHI0001,O&S_SeaF001,Sea Food,Tiger Prawns,Food Retailing,Zhejiang Weiming Environment Protection Co. Ltd,Retail,Retail,R_22ORD_FORET_CHI_Sea_Tig0817,974.00,tonnes,1.50,14.60,%,959.00,tonnes,1.50,14.40,tonnes,1.10,10.55,%,40.00,tonnes,934.00,tonnes,7120.00,USD per tonnes,281486.00,USD,1423.00,USD,4270.00,USD,287179.00,USD,2022-07-01,2022-07-31,2022-06-16,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,2024-05-15 14:05:40.224,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S China,One Shop
