ORIGIN CORRELATION ID,BU_UNIT_IDN,FACILITY IDN,PRODUCT CATEGORY CODE,PRODUCT CATEGORY,MATERIAL,INDUSTRIAL PROCESS TYPE,VALUE CHAIN PARTNER,PRCSS DESC TEXT,INDUSTRY TYP CDE,ORDER IDN,QNTY RECVD NUM,QNTY RECVD NUM UNIT,ALLWD FOOD WASTGE LVL PRCNT NUM,ALLWD FOOD WASTGE LVL QTY NUM,ALLWD FOOD WASTGE LVL QTY NUM UNIT,IDEAL RETL OUTPUT NUM,IDEAL RETL OUTPUT NUM UNIT,FOOD EXPRD PRCNT NUM,QNTY_OF_FOOD_EXPRD_NUM,QNTY_OF_FOOD_EXPRD_NUM_UNIT,OTHER_FOOD_WASTE_PRCNT_NUM,QNTY OTHER FOOD WASTE NUM,QNTY OTHER FOOD WASTE NUM UNIT,WASTE QUANTITY,WASTE QUANTITY UNIT,FOOD PRCSSNG STGE OUTPT NUM,FOOD PRCSSNG STGE OUTPT NUM UNIT,INGRDNT COST NUM,INGRDNT COST NUM UNIT,CALCLTD WASTGE COST NUM ,CALCLTD WASTGE COST NUM UNIT,WASTE COLLCTN COST NUM,WASTE COLLCTN COST NUM UNIT,WASTE TRTMNT COST NUM,WASTE TRTMNT COST NUM UNIT,COST,COST UNIT,CONSUMPTION START DATE,CONSUMPTION END DATE,TRANSACTION DATE,WASTE GENRTN PRCSS TYP,WASTE GENRTN PRCSS CATGRY,WASTE DIVRSN METHD CDE,WASTE DIVRSN METHD SUB TYP CDE,WASTE DIVRSN SITE TYP CDE,HAZRD TYP CDE,DISPOSAL METHOD,SPEND TYPE,DATA QUALITY TYPE,EVIDENCE,EVIDENCE TXT 2,EVIDENCE TXT 3,FRST LOAD TME,FRST LOAD UPTD BY,LST UPDT TME,LST UPDT BY,SRC INFO,INDUSTRY,PLATFORM TYPE,COMPONENT ID,FACILITY,ORGANIZATIONAL UNIT
ed35dc3d679387dfdf31de38860951e1_IDEA_AZURE,OSG_FORET001,OS_CHI0001,O&S_SeaF001,Sea Food,Lobster,Food Retailing,Zhejiang Weiming Environment Protection Co. Ltd,Retail,Retail,R_22ORD_FORET_CHI_Sea_Lob9648,1182,tonnes,1.5,17.7,%,1164,tonnes,1.3,15.1,tonnes,1.3,15.13,%,48,tonnes,1134,tonnes,35160,USD per tonnes,1687650,USD,1728,USD,5184,USD,1694560,USD,01-08-2022,31-08-2022,14-07-2022,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S China,One Shop
5031e386fb2da24045c0709dc28256a2_IDEA_AZURE,OSG_FORET001,OS_GER0001,O&S_Pant001,Pantry Essentials,Eggs,Food Retailing,Bio Service Nord,Retail,Retail,R_22ORD_FORET_GER_Pan_Egg9257,38,tonnes,1.5,0.6,%,37,tonnes,1.8,0.7,tonnes,1.2,0.45,%,2,tonnes,36,tonnes,4840,USD per tonnes,8185,USD,61,USD,609,USD,8855,USD,01-10-2022,31-10-2022,11-09-2022,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S Germany,One Shop
508b6c32cd371183330dfe3409631571_IDEA_AZURE,OSG_FORET001,OS_GER0001,O&S_Pant001,Pantry Essentials,Sugarcane,Food Retailing,Bio Service Nord,Retail,Retail,R_22ORD_FORET_GER_Pan_Sug5092,3054,tonnes,1.5,45.8,%,3008,tonnes,1.6,48.1,tonnes,1.2,36.1,%,130,tonnes,2924,tonnes,1380,USD per tonnes,179455,USD,4681,USD,46814,USD,230950,USD,01-11-2022,30-11-2022,17-10-2022,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S Germany,One Shop
3b227601c945179abe9a6bc46355fa00_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Bake001,Bakery and Bread,Eggs,Food Retailing,Waste Management Inc,Retail,Retail,R_23ORD_FORET_USA_Bak_Egg4997,1889,tonnes,1.5,28.3,%,1860,tonnes,1.8,33.5,tonnes,1.4,26.05,%,88,tonnes,1801,tonnes,4840,USD per tonnes,425267,USD,3163,USD,9489,USD,437920,USD,01-03-2023,31-03-2023,10-02-2023,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
83783db99ce39a75912a776287383e8c_IDEA_AZURE,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Strawberries,Food Retailing,Bio Service Nord,Retail,Retail,R_23ORD_FORET_GER_Bev_Str3168,70,tonnes,1.5,1,%,69,tonnes,1.5,1,tonnes,1.4,0.96,%,3,tonnes,67,tonnes,5400,USD per tonnes,16382,USD,109,USD,1092,USD,17583,USD,01-04-2023,30-04-2023,15-03-2023,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S Germany,One Shop
9265dcf52980013b1eb2623d9945b3af_IDEA_AZURE,OSG_FORET001,OS_GER0001,O&S_Pant001,Pantry Essentials,Canola Seed,Food Retailing,Bio Service Nord,Retail,Retail,R_23ORD_FORET_GER_Pan_Can6661,3186,tonnes,1.5,47.8,%,3138,tonnes,1.6,50.2,tonnes,1.5,47.07,%,145,tonnes,3040,tonnes,1350,USD per tonnes,195822,USD,5222,USD,52219,USD,253263,USD,01-07-2023,30-07-2023,13-06-2023,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S Germany,One Shop
3ed0b762ee281fc0c35ccd715fe42ab4_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Snac001,Snack,Banana,Food Retailing,Waste Management Inc,Retail,Retail,R_23ORD_FORET_USA_Sna_Ban6230,1441,tonnes,1.5,21.6,%,1419,tonnes,2,28.4,tonnes,1.2,17.03,%,67,tonnes,1374,tonnes,1350,USD per tonnes,90467,USD,2412,USD,7237,USD,100117,USD,01-08-2023,30-08-2023,13-07-2023,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
9cc6800f4377577b08039f38344fa6b5_IDEA_AZURE,OSG_FORET001,OS_GER0001,O&S_Beve001,Beverages,Ginger,Food Retailing,Bio Service Nord,Retail,Retail,R_22ORD_FORET_GER_Bev_Gin3787,875,tonnes,1.5,13.1,%,862,tonnes,1.6,13.8,tonnes,1.3,11.2,%,38,tonnes,837,tonnes,1490,USD per tonnes,56792,USD,1372,USD,13722,USD,71886,USD,01-03-2022,31-03-2022,12-02-2022,Expiry & Spillover,Solid,Waste diverted from disposal by recovery,Composting,Offsite,Non-Hazardous,Composted,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S Germany,One Shop
dc761450940c156dc935945bdde7e330_IDEA_AZURE,OSG_FORET001,OS_USA0001,O&S_Bake001,Bakery and Bread,Milk,Food Retailing,Waste Management Inc,Retail,Retail,R_22ORD_FORET_USA_Bak_Mil9239,1852,tonnes,1.5,27.8,%,1824,tonnes,1.2,21.9,tonnes,1.1,20.07,%,70,tonnes,1782,tonnes,660,USD per tonnes,46032,USD,2511,USD,7532,USD,56075,USD,01-05-2022,31-05-2022,13-04-2022,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S USA,One Shop
4eddc693ff378a23d79afb47cc929cee_IDEA_AZURE,OSG_FORET001,OS_CHI0001,O&S_SeaF001,Sea Food,Tiger Prawns,Food Retailing,Zhejiang Weiming Environment Protection Co. Ltd,Retail,Retail,R_22ORD_FORET_CHI_Sea_Tig0817,974,tonnes,1.5,14.6,%,959,tonnes,1.5,14.4,tonnes,1.1,10.55,%,40,tonnes,934,tonnes,7120,USD per tonnes,281486,USD,1423,USD,4270,USD,287179,USD,01-07-2022,31-07-2022,16-06-2022,Expiry & Spillover,Solid,Waste directed to disposal,Landfilling,Offsite,Non-Hazardous,Landfilled,Waste Management and Remediation Services,Estimated,Inventory Records,Invoices,Internal Records,,Shubhra Priyadarshini,05:40.2,Shubhra Priyadarshini,Demo_Data,Retail,IDEA_AZURE,,O&S China,One Shop
